"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1232","3/5/14","23","Male","Hispanic","Gunshot","Allegedly Armed","Labelle","FL","33935",26.760476,-81.43029
"1233","8/9/16","73","Female","White","Gunshot","Unarmed","Punta Gorda","FL","33950",26.914393,-82.04106
"1234","4/11/14","55","Male","Black","Beaten","Unarmed","Punta Gorda","FL","33955",26.837879,-82.00403
"1235","6/24/13","47","Male","White","Gunshot","Allegedly Armed","Cape Coral","FL","33990",26.63075,-81.95251
"1236","7/29/13","40","Female","White","Gunshot","Allegedly Armed","Bonita Springs","FL","34134",26.348608,-81.83134
"1237","10/31/15","33","Male","Black","Vehicle","Unarmed","Ochopee","FL","34141",25.7265,-81.20151
"1238","1/31/16","46","Male","Hispanic","Gunshot","Allegedly Armed","Immokalee","FL","34142",26.398248,-81.39325
"1239","4/14/14","24","Male","White","Gunshot","Allegedly Armed","Bradenton","FL","34203",27.448369,-82.52324
"1240","2/14/16","50","Male","White","Gunshot","Allegedly Armed","Bradenton","FL","34203",27.448369,-82.52324
"1241","8/28/14","31","Male","White","Gunshot","Allegedly Armed","Bradenton","FL","34203",27.448369,-82.52324
"1242","11/19/15","34","Male","Black","Gunshot","Allegedly Armed","Bradenton","FL","34203",27.448369,-82.52324
"1243","11/23/14","50","Male","White","Gunshot","Allegedly Armed","Bradenton","FL","34205",27.485617,-82.58294
"1244","4/6/16","39","Male","White","Taser","Unarmed","Bradenton","FL","34208",27.486448,-82.535
"1245","6/8/13","40","Male","Unknown race","Gunshot","Allegedly Armed","Bradenton","FL","34208",27.486448,-82.535
"1246","3/16/15","61","Male","Hispanic","Vehicle","Allegedly Armed","Bradenton","FL","34208",27.486448,-82.535
"1247","1/5/14","30","Male","White","Gunshot","Allegedly Armed","Sarasota","FL","34234",27.365622,-82.53556
"1248","5/7/15","33","Male","Asian","Unknown","Unarmed","Sarasota","FL","34236",27.333014,-82.54613
"1249","10/22/13","57","Male","White","Gunshot","Allegedly Armed","North Port","FL","34286",27.072445,-82.1606
"1250","6/7/15","53","Male","White","Gunshot","Allegedly Armed","North Port","FL","34287",27.051075,-82.24417
"1251","5/13/14","41","Male","White","Gunshot","Allegedly Armed","Dunnellon","FL","34434",28.99409,-82.45364
"1252","9/20/14","49","Female","White","Gunshot","Allegedly Armed","Homosassa","FL","34446",28.746912,-82.53331
"1253","11/16/14","46","Female","White","Gunshot","Allegedly Armed","Inverness","FL","34453",28.865761,-82.35982
"1254","10/20/14","54","Male","Hispanic","Gunshot","Allegedly Armed","Ocala","FL","34471",29.171187,-82.10394
"1255","2/3/16","31","Male","White","Gunshot","Allegedly Armed","Ocala","FL","34472",29.120287,-82.02133
"1256","4/6/15","33","Male","White","Gunshot","Unarmed","Ocala","FL","34482",29.232873,-82.2522
"1257","10/7/14","36","Female","Black","Unknown","Unarmed","Ocala","FL","34482",29.232873,-82.2522
"1258","12/22/15","29","Male","White","Gunshot","Allegedly Armed","Spring Hill","FL","34604",28.478994,-82.453508
"1259","5/8/14","69","Male","White","Gunshot","Allegedly Armed","Spring Hill","FL","34604",28.478994,-82.453508
"1260","5/19/14","56","Male","Unknown race","Gunshot","Allegedly Armed","Spring Hill","FL","34604",28.478994,-82.453508
"1261","8/5/16","30","Male","White","Gunshot","Unarmed","Brooksville","FL","34610",28.397791,-82.53084
"1262","9/15/16","69","Male","White","Gunshot","Unclear","Brooksville","FL","34613",28.555346,-82.53601
"1263","12/10/13","54","Male","White","Medical emergency","Unarmed","New Port Richey","FL","34652",28.237582,-82.72818
"1264","5/15/14","43","Male","White","Gunshot","Allegedly Armed","New Port Richey","FL","34653",28.248558,-82.69869
"1265","8/9/13","62","Male","White","Gunshot","Allegedly Armed","New Port Richey","FL","34654",28.295714,-82.61782
"1266","9/7/16","58","Male","White","Tasered","Unarmed","Oldsmar","FL","34677",28.042799,-82.67737
"1267","12/19/14","41","Male","White","Gunshot","Allegedly Armed","Holiday","FL","34691",28.19006,-82.75735
"1268","11/18/14","34","Male","White","Gunshot","Allegedly Armed","Dunedin","FL","34698",28.025395,-82.77534
"1269","4/25/15","58","Male","White","Gunshot","Allegedly Armed","Clermont","FL","34711",28.545742,-81.74805
"1270","8/12/16","33","Female","White","Gunshot","Unarmed","Kissimmee","FL","34744",28.308979,-81.37594
"1271","1/7/14","47","Male","White","Gunshot","Allegedly Armed","Leesburg","FL","34748",28.797245,-81.88466
"1272","5/7/13","23","Male","Hispanic","Gunshot","Allegedly Armed","Leesburg","FL","34748",28.797245,-81.88466
"1273","7/14/15","20","Male","Black","Gunshot","Allegedly Armed","Mascotte","FL","34753",28.583191,-81.89038
"1274","5/13/16","27","Female","Hispanic","Vehicle","Allegedly Armed","Mascotte","FL","34753",28.583191,-81.89038
"1275","7/10/13","30","Male","White","Taser","Unarmed","Saint Cloud","FL","34769",28.24934,-81.28749
"1276","9/18/13","53","Male","Unknown race","Gunshot","Unarmed","Winter Garden","FL","34787",28.536794,-81.59344
"1277","11/19/15","27","Male","Black","Gunshot","Allegedly Armed","Fort Pierce","FL","34947",27.448688,-80.36247
"1278","3/27/15","39","Male","Black","Gunshot","Allegedly Armed","Fort Pierce","FL","34950",27.448016,-80.33644
"1279","1/14/14","30","Male","Black","Gunshot","Allegedly Armed","Fort Pierce","FL","34950",27.448016,-80.33644
"1280","4/23/16","21","Male","Black","Gunshot","Vehicle","Fort Pierce","FL","34950",27.448016,-80.33644
"1281","9/20/16","22","Male","White","Gunshot","Allegedly Armed","Port Saint Lucie","FL","34953",27.246754,-80.38145
"1282","12/1/13","21","Female","Hispanic","Vehicle","Unarmed","Okeechobee","FL","34972",27.39171,-80.87555
"1283","12/1/13","21","Female","Hispanic","Vehicle","Unarmed","Okeechobee","FL","34972",27.39171,-80.87555
"1284","5/9/16","50","Male","White","Vehicle","Allegedly Armed","Port Saint Lucie","FL","34983",27.312471,-80.34907
"1285","3/8/14","21","Male","Black","Gunshot","Unclear","Alexander City","AL","35010",32.903432,-85.92669
"1286","8/23/15","36","Male","White","Gunshot","Unclear","Arab","AL","35016",34.323715,-86.49278
"1287","11/3/14","28","Male","White","Gunshot","Allegedly Armed","Blountsville","AL","35031",34.111425,-86.5338
"1288","4/19/16","38","Male","White","Gunshot","Allegedly Armed","Blountsville","AL","35031",34.111425,-86.5338
"1289","1/23/16","43","Male","White","Gunshot","Unclear","Clanton","AL","35045",32.834501,-86.64355
"1290","6/17/15","40","Female","White","Gunshot","Allegedly Armed","Clanton","AL","35045",32.834501,-86.64355
"1291","12/27/14","51","Male","White","Gunshot","Allegedly Armed","Holly Pond","AL","35083",34.198738,-86.59814
"1292","6/20/15","21","Male","Black","Taser","Unarmed","McCalla","AL","35111",33.279946,-87.10148
"1293","9/12/15","23","Male","White","Gunshot","Unclear","Sylacauga","AL","35150",33.185782,-86.25105
"1294","10/17/14","28","Male","Black","Gunshot","Unarmed","Warrior","AL","35180",33.82343,-86.81569
"1295","9/13/14","47","Male","Black","Taser","Unarmed","Birmingham","AL","35203",33.519055,-86.8097
"1296","5/10/14","32","Male","Black","Gunshot","Allegedly Armed","Birmingham","AL","35204",33.519855,-86.83534
"1297","2/20/15","38","Male","Black","Gunshot","Allegedly Armed","Birmingham","AL","35205",33.497055,-86.8057
"1298","5/12/16","51","Male","Black","Vehicle","Allegedly Armed","Birmingham","AL","35206",33.568573,-86.72163
"1299","5/9/14","21","Male","Black","Gunshot","Allegedly Armed","Birmingham","AL","35206",33.568573,-86.72163
"1300","3/27/15","77","Male","Black","Gunshot","Allegedly Armed","Birmingham","AL","35206",33.568573,-86.72163
"1301","7/12/16","36","Male","White","Tasered","Unarmed","Birmingham","AL","35207",33.560652,-86.81897
"1302","7/29/16","40","Female","White","Gunshot","Allegedly Armed","Birmingham","AL","35209",33.468306,-86.80814
